,Year,Temp_Anom,Emissions,Concentration,Forcing,Reward
0,2023,0.975007681106596,10.778328287842676,416.41631461589293,2.1627137425949194,-16.225016808844195
1,2024,0.9901580264118499,10.386992919686243,418.56515402128684,2.190262786141728,-22.607654413581635
2,2025,1.004858384879597,9.995577264073297,420.562490479967,2.215742964582157,-28.999185882686433
3,2026,1.0190385950495315,9.604067373516962,422.41865264779096,2.239313920892851,-35.398301341404185
4,2027,1.032652864298492,9.212447363379404,424.14023753637366,2.2610835139122885,-41.80403129604612
5,2028,1.045671772782699,8.820699113848612,425.73169318665794,2.2811291576046377,-48.21564000888486
6,2029,1.0580770625261604,8.428802180531427,427.1961909746441,2.2995095711456615,-54.63255354064921
7,2030,1.0698581472190674,8.036733943465158,428.53611534646774,2.316271390566147,-61.05430802845619
8,2031,1.081009719085924,7.644469189885065,429.7533446026607,2.331452983352165,-67.48051795976278
9,2032,1.0915300769280654,7.251980531456873,430.8494163608079,2.345086720969142,-73.91084545984936
10,2033,1.1014199411803751,6.8592384936837405,431.82562804297993,2.3572003813951006,-79.69311787222075
11,2034,1.1106816058387587,6.466211962941095,432.68310029764007,2.3678180527995067,-85.47889110885278
12,2035,1.1193183281216124,6.072868871930048,433.422818885663,2.3769607444984713,-91.26784608033694
13,2036,1.1273338888037734,5.679177361967966,434.04566395040905,2.384646823456862,-97.05962754599385
14,2037,1.134732276520797,5.285106766465113,434.55243155598976,2.390892341482497,-102.8538250378989
15,2038,1.1415174632050327,4.890629071238443,434.9438506340912,2.395711294963358,-108.6499501358722
16,2039,1.14769324721192,4.495720762255594,435.2205972379239,2.3991158426645294,-114.44741068453648
17,2040,1.153263146983117,4.10036455416958,435.3833070777603,2.401116495142759,-120.24548679477734
18,2041,1.1582303326683778,3.7045511784581393,435.43258701998025,2.40172228540428,-126.04330667677897
19,2042,1.162597586218001,3.3082808139352053,435.36902580091703,2.4009409249299045,-131.83982634923638
20,2043,1.1663672826390634,2.9115639808205813,435.1932040010138,2.398778946528982,-137.29419423429573
21,2044,1.169541386749253,2.5144219281701297,434.9057032712845,2.3952418347203555,-142.7446036270375
22,2045,1.1721214607706534,2.1168860974339694,434.507114563207,2.390334141276063,-148.1894303822859
23,2046,1.1741086789694204,1.7189968409566134,433.99804518889607,2.3840595843809744,-153.6268606984067
24,2047,1.1755038461482474,1.3208013060120791,433.3791244814124,2.376421129029908,-159.05490643743
25,2048,1.1763074174690054,0.9223509016064853,432.6510080162161,2.3674210484964346,-164.4714244055884
26,2049,1.1765195176325611,0.5236984672574252,431.8143803875537,2.357060966975687,-169.8741383257414
27,2050,1.1761399581696699,0.12489576959888637,430.86995680772867,2.3453418867756013,-175.26065717899806
28,2051,1.1753133042479371,0.0,429.947193797213,2.3338667498420116,-177.8945559758504
29,2052,1.1742051481346238,0.0,429.09221145932975,2.323212505687926,-179.27162265963256
30,2053,1.172929615775168,0.0,428.2905663441188,2.3132036145482315,-180.44251886459713
31,2054,1.1715653728843083,0.0,427.53228518425044,2.3037188851452037,-181.61270919045285
32,2055,1.1701664853708822,0.0,426.8103171366089,2.294672721046586,-182.78445530466294
33,2056,1.168769896920531,0.0,426.1195846526965,2.286003599747155,-183.95946440907912
34,2057,1.1674005988360574,0.0,425.45635154905665,2.2776663781245827,-185.1390468671296
35,2058,1.1660752185321688,0.0,424.8178001202708,2.269627130052956,-186.32422844120097
36,2059,1.1648045199842485,0.0,424.2017469169404,2.2618596695880586,-187.51583054705162
37,2060,1.1635951526110524,0.0,423.6064509653362,2.2543432012392994,-188.71452788707882
38,2061,1.1624508790190338,0.0,423.0304838574411,2.247060726564013,-189.92089002593215
39,2062,1.161373440000832,0.0,422.4726413850938,2.2399979597614754,-191.13541152681003
40,2063,1.1603631660609068,0.0,421.9318831483628,2.2331425866749623,-192.30649383914044
41,2064,1.1594194111275884,0.0,421.407291049483,2.226483756006207,-193.48658159804395
42,2065,1.158540861029328,0.0,420.89804056881314,2.2200117278937292,-194.67605427660075
43,2066,1.1577257534102265,0.0,420.4033807146579,2.2137176293701373,-195.87527506273534
44,2067,1.1569720347660404,0.0,419.92261987624613,2.207593282585184,-197.0845974483501
45,2068,1.1562774726552438,0.0,419.4551157076827,2.2016310827059864,-198.30437020276773
46,2069,1.1556397358300963,0.0,419.0002677754943,2.195823909842633,-199.5349411645361
47,2070,1.1550564513223889,0.0,418.55751211021754,2.1901650643722004,-200.77666016581455
48,2071,1.1545252449158854,0.0,418.126317077894,2.1846482184337908,-202.0298813177619
49,2072,1.1540437696044625,0.0,417.706180173622,2.179267378670481,-203.294964823702
50,2073,1.15360972533862,0.0,417.2966254654956,2.174016856856476,-204.54216104125538
51,2074,1.1532208724423498,0.0,416.89720150285854,2.1688912461090277,-205.8019638892585
52,2075,1.1528750404255703,0.0,416.5074795609503,2.163885401106319,-207.07475965487544
53,2076,1.1525701334467142,0.0,416.12705213359345,2.158994421224001,-208.36094526195245
54,2077,1.1523041333413362,0.0,415.7555316125623,2.154213635838351,-209.66092903212714
55,2078,1.1520751008876728,0.0,415.39254911069554,2.1495385912728646,-210.97513136781035
56,2079,1.1518811758022092,0.0,415.0377533984472,2.144965039021857,-212.3039853782189
57,2080,1.1517205758285423,0.0,414.69080993224213,2.140488924992093,-213.64793746458244
58,2081,1.1515915951877571,0.0,414.35139995898004,2.136106379577368,-215.00744787687654
59,2082,1.151492602588611,0.0,414.0192196851775,2.131813708431988,-216.3829912516108
60,2083,1.1514220389441645,0.0,413.693979502109,2.1276073838442553,-218.05629366416832
61,2084,1.151378414903244,0.0,413.37540326034764,2.123484036635892,-219.7466235710135
62,2085,1.1513603082766595,0.0,413.06322758851854,2.119440448530297,-221.45450190730173
63,2086,1.1513663614168994,0.0,412.7572012521118,2.115473544944869,-223.18046608258172
64,2087,1.1513952785941686,0.0,412.45708454893634,2.1115803881712085,-224.92507050801174
65,2088,1.1514458233997837,0.0,412.16264873834245,2.107758170913317,-226.688887131389
66,2089,1.1515168161990423,0.0,411.8736755017476,2.104004210158474,-228.4725059819766
67,2090,1.1516071316490228,0.0,411.58995643230924,2.1003159413588897,-230.2765357267888
68,2091,1.1517156962917827,0.0,411.3112925518365,2.096690912904892,-232.10160423975208
69,2092,1.1518414862296813,0.0,411.0374938532185,2.0931267808723333,-233.94835918496992
70,2093,1.151983524886782,0.0,410.7683788668148,2.0896213040286518,-235.9629094695734
71,2094,1.1521408808582043,0.0,410.50377424937653,2.086172339083204,-238.00050329514863
72,2095,1.1523126658477847,0.0,410.2435143941858,2.0827778361686864,-240.06185135259972
73,2096,1.1524980326932854,0.0,409.98744106119847,2.0794358345413952,-242.1476866173117
74,2097,1.1526961734775913,0.0,409.73540302605363,2.0761444584888076,-244.25876501738225
75,2098,1.152906317723764,0.0,409.48725574690303,2.072901913433838,-246.3958661212793
76,2099,1.153127730671438,0.0,409.242861048069,2.0697064822256266,-248.55979384565745
77,2100,1.153359711631791,0.0,409.00208681961317,2.0665565216074375,-250.75137718405264
78,2023,0.9750035098281933,10.770695466044351,416.4127292519362,2.1626676579940756,-16.301267691325855
79,2024,0.9901470106543544,10.379358667376444,418.5584722286045,2.1901773420885697,-22.683786577571343
80,2025,1.004838768321949,9.987941372635767,420.5529878098681,2.2156220249978436,-29.075158957302335
81,2026,1.01900921204105,9.596429515126154,422.4064992683569,2.239159925167355,-35.474084650283885
82,2027,1.0326129386499265,9.204807210209772,424.1255436482289,2.2608980825342657,-41.87959970189537
83,2028,1.0456207900651213,8.81305633807461,425.71453414992425,2.2809134258266734,-48.29097199806676
84,2029,1.0580146867566744,8.421156424525186,427.17662139276297,2.299264375602923,-54.707630242794544
85,2030,1.0697841650872382,8.029084760191843,428.51417706466873,2.3159973753073224,-61.129112930868494
86,2031,1.0809240017739852,7.636816042902872,429.72907134239466,2.3311506614851183,-67.55503627988456
87,2032,1.0914325535250502,7.244322884323999,430.8228365016188,2.344756511888533,-73.98506279180182
88,2033,1.1013105798337721,6.851575690749094,431.7967662612391,2.356842633005739,-79.76702103132513
89,2034,1.1105604003246994,6.458543408158228,432.6519786654401,2.367433056548249,-85.55246607521957
90,2035,1.1191852882109827,6.065194028857157,433.3894575915708,2.3765487453868213,-91.34107778637396
91,2036,1.127189033267419,5.671495634558603,434.01008173699086,2.3842080263164758,-97.13250089416167
92,2037,1.134575628071185,5.2774175586728305,434.5146460520521,2.390426915777673,-102.92632415857531
93,2038,1.1413490449246764,4.882931936028406,434.9038786694825,2.39521937923967,-108.72205677379148
94,2039,1.1475130800505133,4.4880153718022555,435.17845507994025,2.398597547919056,-114.51910438947928
95,2040,1.1530712480081606,4.092650640252039,435.3390105985718,2.4005719072559883,-120.31674542108385
96,2041,1.1580267139192477,3.6968286218671054,435.3861518809774,2.4011514677077805,-126.11410540192514
97,2042,1.1623822540497692,3.3005497338799685,435.32046765633027,2.40034392095223,-131.91013670052064
98,2043,1.166140237361186,2.9038246157197207,435.1425386246023,2.398155781750416,-137.3639852055409
99,2044,1.169302622576177,2.5066748144654483,434.85294675794046,2.3945925192152107,-142.8138398208573
